空の缶はうるさい,からのかんはうるさい
陰陽師,おんみょうじ
隠密,おんみつ
幽霊,ゆうれい
不知火,しらぬい
陽炎,かげろう
竜頭蛇尾,りゅうとうだび
一石二鳥,いっせきにちょう
インターネット,いんたーねっと
早起きは三文の徳,はやおきはさんもんのとく
森羅万象,しんらばんしょう
弁当箱,べんとうばこ
針小棒大,しんしょうぼうだい
バスケットボール,ばすけっとぼーる
虎の威を借る狐,とらのいをかるきつね
天変地異,てんぺんちい
国際連合,こくさいれんごう
国際連盟,こくさいれんめい
修学旅行,しゅうがくりょこう
マウスパッド,まうすぱっど
日曜の朝寝坊,にちようのあさねぼう
ペガサスが暴れている,ぺがさすがあばれている
秋のきのこ狩り,あきのきのこがり
オンラインストレージ,おんらいんすとれーじ
ワークステーション,わーくすてーしょん
ブロードバンド通信,ぶろーどばんどつうしん
パンテオン神殿,ぱんておんしんでん
かわいい赤ちゃん,かわいいあかちゃん
コマネチ,こまねち
アボカドのてんぷら,あぼかどのてんぷら
五里霧中,ごりむちゅう
千里の道も一歩から,せんりのみちもいっぽから
暗中模索,あんちゅうもさく
四面楚歌,しめんそか
七転び八起き,ななころびやおき
秋田キャッスルホテル,あきたきゃっするほてる
石が流れて木の葉が沈む,いしがながれてこのはがしずむ
食欲の秋,しょくよくのあき
好きこそものの上手なれ,すきこそもののじょうずなれ
持ちつ持たれつ,もちつもたれつ
パーソナルコンピュータ,ぱーそなるこんぴゅーた
秋田名物きりたんぽ,あきためいぶつきりたんぽ
一日千秋,いちじつせんしゅう
みそ汁,みそしる
馬の耳に念仏,うまのみみにねんぶつ
スーパーマーケット,すーぱーまーけっと
スマートフォン,すまーとふぉん
花火,はなび
テレビ番組,てれびばんぐみ
海,うみ
雪ダルマ,ゆきだるま
サンドイッチ,さんどいっち
お笑い芸人,おわらいげいにん
ハムスター,はむすたー
ファッション,ふぁっしょん
校歌,こうか
お祭り,おまつり
英語,えいご
オーストラリア,おーすとらりあ
アメリカ,あめりか
カラオケ,からおけ
アメリカンフットボール,あめりかんふっとぼーる
フルーツ,ふるーつ
修学旅行,しゅうがくりょこう
運動会,うんどうかい
ライトノベル,らいとのべる
センター試験,せんたーしけん
球技大会,きゅうぎたいかい
バレーボール,ばれーぼーる
坂本竜馬,さかもとりょうま
ダイアモンド,だいあもんど
ビーフシチュー,びーふしちゅー
織田信長,おだのぶなが
牛乳,ぎゅうにゅう
ロールキャベツ,ろーるきゃべつ
バレンタインデー,ばれんたいんでー
エイプリルフール,えいぷりるふーる
タロットカード,たろっとかーど
フィリピン,ふぃりぴん
スウェーデン,すうぇーでん
勝ってうれしい花一匁,かってうれしいはないちもんめ
秋刀魚は目黒に限る,さんまはめぐろにかぎる
世界五分前仮説,せかいごふんまえかせつ
中国語の部屋,ちゅうごくごのへや
鶴は千年亀は万年,つるはせんねんかめはまんねん
緑のリボンのジェニー,みどりのりぼんのじぇにー
輝くトラペゾヘドロン,かがやくとらぺぞへどろん
トゲアリトゲナシトゲトゲ,とげありとげなしとげとげ
おいしいポップコーンはいかが,おいしいぽっぷこーんはいかが
ボーカロイド,ぼーかろいど
スマートフォン,すまーとふぉん
春夏秋冬,しゅんかしゅうとう
賛否両論,さんぴりょうろん
雪国,ゆきぐに
男鹿半島,おがはんとう
天真爛漫,てんしんらんまん
アメリカ合衆国,あめりかがっしゅうこく
スカイツリー,すかいつりー
麒麟,きりん
魑魅魍魎,ちみもうりょう
艦隊これくしょん,かんたいこれくしょん
東京オリンピック,とうきょうおりんぴっく
超人ネイガー,ちょうじんねいがー
ポートタワーセリオン,ぽーとたわーせりおん
